πατήρ,(pat-ayr'),"Noun, Masculine",a father,"ἐν ἑαυτοῖς Πατέρα ἔχομεν τὸν

Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας

καὶ τὸν πατέρα αὐτῶν ἠκολούθησαν"," within yourselves [For] father we have

 Zebedee the father of them mending

 and the father of them they followed","<b>Πάτερ</b> ἡμῶν ὁ ἐν τοῖς οὐρανοῖς,",Πάτερ,BibleHub
οὐρανός,(oo-ran-os'),"Noun, Masculine",heaven,"αὐτῷ οἱ οὐρανοί καὶ εἶδεν

ἐκ τῶν οὐρανῶν λέγουσα Οὗτός

βασιλεία τῶν οὐρανῶν "," to him the heavens and he saw

 out of the heavens saying This

 kingdom of the heavens","ἡμῶν ὁ ἐν τοῖς <b>οὐρανοῖς</b>, ἁγιασθήτω τὸ ὄνομά σου.",οὐρανοῖς,BibleHub
πονηρός,(pon-ay-ros'),Adjective,"toilsome, bad","ἐκ τοῦ πονηροῦ ἐστίν 

ἀντιστῆναι τῷ πονηρῷ ἀλλ' ὅστις

ἀνατέλλει ἐπὶ πονηροὺς καὶ ἀγαθοὺς"," from evil comes

 to resist the evil [person] but whoever

 he causes to rise on evil and good",ἀλλὰ ῥῦσαι ἡμᾶς ἀπὸ τοῦ <b>Πονηροῦ</b>,Πονηροῦ,BibleHub
