ἀνυμνήσωμεν
προσκυνήσωμεν·
ηὐδόκησε
ἀδιόδευτος
ἀχείμαστε
Ἀπειρόγαμε
Ποιητὴν
ἐλλείπῃς
ἀνυμνούντων
