αἰῶνα·
ἔχει·
λέγετε·
μέλανος·
ἐκλεκτῆς·
ἐκκλησίας·
ἐκκλησίᾳ·
Διοτρεφὴς
ἡμᾶς·
ἐστιν·
ἀληθείας·
γράψαι·
