Μαθήτριαι
προγονικὴν
ἀπόφασιν
ἔλεγον·
Ἐσκύλευται
ἡγέρθη
Μυστήριον·
Θεοτόκε
ἀσυγχύτῳ
ἑνώσει
σαρκούμενος
καταδεξάμενος·
Πρωτόπλαστον
